                 E\G                   1                   2                   3                   4                   5                   6                   7                   8                   9                  10                  11                  12                  13                  14
                   1                   1                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
                   2                   4                   2                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
                   3                  19                  16                   8                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
                   4                 106                 137                 128                  47                   0                   0                   0                   0                   0                   0                   0                   0                   0                   0
                   5                 709                1254                1890                1372                 473                   0                   0                   0                   0                   0                   0                   0                   0                   0
                   6                5356               12597               27036               31007               22556                7190                   0                   0                   0                   0                   0                   0                   0                   0
                   7               44558              133518              379491              611322              704066              469632              144904                   0                   0                   0                   0                   0                   0                   0
                   8              397146             1464725             5229092            11017122            17691240            18521632            11990766             3534490                   0                   0                   0                   0                   0                   0
                   9             3716039            16373700            70805740           186044902           387965547           563764626           571333104           352456980           100895667                   0                   0                   0                   0                   0
                  10            35967272           185086459           944106760          2992773591          7743850792         14578260141         20460879142         19724988666         11802591792          3276228298                   0                   0                   0                   0
                  11           356784008          2106417804         12426068215         46378655568        144265686318        336572753272        611002852755        814875498464        761046274191        441064161280        119465644032                   0                   0                   0
                  12          3605014966         24081813881        161793730426        697928466684       2549632137634       7146006383642      16057491913346      27678691047563      35728218734494      32289907002323      18241550095386       4827606232542                   0                   0
                  13         36955965852        276231542440       2087922762430      10257901689164      43225637985830     142229030736882     383591381459308     817987730593078    1363656535674147    1702134963077638    1498266227902654     826272319923692     214282994249825                   0
                  14        383320824698       3176840637522      26745380615078     147883893647230     708619408979790    2688967762932621    8507419863898968   21764920947291140   44859920849412082   72275063245968670   87804887825945334   75393018976649179   40709834082394876   10361526316840074
